 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Malaysia,93789736842.1,92783947368.4,100845526315.8,110202368421.1,124749473684.2,143534405818.5,162692258307.1,193549569477.7,230811614370.4,202257453036.6,255017638455.6,297951668674.8,314443047642.1,323276235524.4,338066095097.3,301355266964.9
Maldives,624337145.3,870031676.8,897031250.0,1052121054.7,1226829562.5,1163362437.5,1575200390.6,1868383460.9,2271646187.5,2345294875.0,2588176054.7,2774350240.0,2886163997.2,3295009237.5,3697353039.2,4129505319.1
Mali,2961484953.9,3468337942.3,3908121307.0,4714071979.7,5454249125.7,6247515888.1,6905934217.9,8156468826.1,9838403100.5,10231962390.2,10689168016.3,12995112690.3,12442035339.1,13242690786.1,14364937124.1,13104764378.3
Malta,4036810072.1,4070867701.8,4455128822.7,5418313424.5,6104139672.8,6393234993.5,6749840217.7,7908417717.4,9135423330.2,8734741331.6,9097044160.9,9789361703.7,9609532088.9,10796782637.5,11888032872.4,11340795041.8
Marshall Islands,114838500.0,122406100.0,131960000.0,131128500.0,132900000.0,138000000.0,143200000.0,150500000.0,146600000.0,151200000.0,161100000.0,172300000.0,180700000.0,186400000.0,186000000.0,183700000.0
Mauritania,1779520886.5,1746063557.6,1777057481.3,2051147606.7,2362501023.2,2936019525.6,3919577285.9,4346212355.0,5206437193.8,4714595547.8,5628878798.0,6764627745.9,6728208836.2,7223071097.1,6592537781.8,6166863896.7
Mauritius,4726108622.5,4675755867.2,4906494249.4,5894873919.7,6667418752.1,6576108447.5,7028810680.9,8150150209.2,9990356673.7,9128843109.2,10003670690.3,11518413430.0,11668696396.8,12292974141.4,13074129952.1,12007291045.6
Mexico,742061329643.4,796064590656.2,810666116505.5,765549967703.3,819459227375.0,917571853529.1,1020265057882.0,1102355554972.0,1161553459715.1,943437415024.6,1105424238731.1,1229013703416.8,1255110424817.8,1327436290282.7,1364507717614.1,1213294467716.9
Micronesia Fed. Sts.,233271800.0,240970900.0,242517200.0,245432900.0,240236000.0,250281900.0,253541900.0,256787200.0,263145100.0,280284600.0,296944100.0,311301600.0,327248700.0,317214400.0,319271200.0,316489900.0
Moldova,1288429391.8,1480673594.1,1661818168.4,1980907434.8,2598249555.9,2988342907.0,3408255450.6,4401173151.9,6054824248.2,5439434271.8,6974982369.6,8414352020.5,8709138634.8,9496717875.5,9402090137.7,7797667196.7
Monaco,2654462665.3,2673723033.7,2919647981.8,3597089750.8,4043551488.8,4204652898.7,4586826512.7,5875790766.3,6502942244.9,5474379252.3,5367561569.6,6088689808.4,5742749294.0,6555591709.9,7070017323.7,6264756528.4
Mongolia,1136896123.6,1267997934.3,1396555720.0,1595297355.8,1992066808.1,2523471601.1,3414055661.6,4234999703.9,5623216608.0,4583850367.9,7189481998.9,10409797377.9,12292770631.6,12582122604.3,12226514668.1,11619892590.7
Montenegro,984293043.8,1159869245.9,1284685050.5,1707710053.1,2073234417.7,2257174480.8,2721903148.9,3680711743.8,4545674527.6,4159330369.5,4142983843.5,4544428421.5,4087526241.8,4465772400.4,4593853291.0,4054730077.6
Morocco,43017455401.8,43831480207.6,47077192187.6,58029363354.3,66114145451.0,68852658068.7,75883823300.9,86947913286.7,101822906949.1,101154952240.9,100865329473.4,110080631332.4,106937392311.1,115739287305.1,119130841411.7,110413823841.6
Mozambique,5930685214.6,5650154067.1,5950769426.6,6583526860.6,7937255565.4,8868504899.9,9509835536.9,10811456005.9,12920340964.7,12263894790.0,11411894723.9,14619279988.7,16688114144.1,17198073057.2,17978246586.1,16208985769.6
Myanmar,8905066163.6,6477790688.2,6777632512.1,10467109977.7,10567354056.4,11986972418.5,14502553709.8,20182477480.6,31862554101.9,36906181380.8,49540813342.5,59977326086.0,59937796648.2,60269732854.8,65531374199.7,59607290407.6
Namibia,3922232164.8,3557341215.2,3349169826.4,4926439383.5,6609205994.8,7248374837.7,8001779551.1,8839536476.0,8607431497.5,8938847189.1,11431412421.1,12523359440.5,13042053591.7,12043307277.1,12435430969.6,11335161083.5
Nauru,26930980.3,22613287.5,21017423.6,24778159.6,30587565.8,30070666.1,29200359.4,22766972.2,37602264.7,44176245.5,47562844.6,65444173.8,100794924.7,94385014.9,98752257.0,84383388.6
Nepal,5494252207.9,6007055042.2,6050875806.7,6330473096.5,7273938314.7,8130258377.9,9043715355.9,10325618017.4,12545438605.4,12854985464.1,16002656434.5,21573872420.7,21703100877.1,22162204924.6,22731612922.2,24360801286.8
Netherlands,417649282153.7,432536219668.9,475529972122.7,582435617082.0,661224886143.2,688133699635.8,737593995289.4,853499460872.6,957901566041.4,878954223140.2,852464982433.3,913140741332.7,845689017065.6,883951539006.7,901556501756.5,775743675302.7
New Caledonia,3420032041.1,3297734891.1,3740056747.7,4915353827.1,5895008978.0,6238629487.0,6979155387.9,8819917180.3,9067619760.1,8704438102.2,9364350076.9,10351448004.8,9659151917.4,10151382933.2,10635035594.8,8738203074.4
New Zealand,52623281956.7,53872425916.6,66627729311.4,88250885550.3,103905210084.0,114720129550.1,111538810712.7,137188946865.6,133131369930.4,121373602348.7,146517541181.3,168295307149.5,176210710655.2,190909855416.3,201337554959.5,178104220784.9
Nicaragua,5109587050.0,5351752034.2,5223727302.5,5322228350.6,5792932838.4,6321324455.2,6763688874.6,7423419479.8,8496948184.4,8298687305.7,8758572306.3,9774320144.0,10531980451.2,10982954744.4,11880433902.9,12756685550.3
Niger,2241753192.8,2448714704.0,2782192878.7,3394084732.5,3760443737.5,4383315964.6,4756361252.4,5731485051.8,7297600226.0,7352131309.7,7851192502.3,8772950777.8,9426912647.6,10224897437.9,10862943543.5,9683867926.4
Nigeria,69171451627.2,73557840064.5,95054059302.7,104738954264.2,135764731645.6,175670569969.3,238454997161.5,278260846800.1,339476276257.8,295008835381.0,366990417129.0,414466676831.2,463971018239.3,520117180313.9,574183763411.5,493026682800.6
Northern Mariana Islands,,,1284000000.0,1239000000.0,1210000000.0,1061000000.0,990000000.0,938000000.0,939000000.0,795000000.0,799000000.0,729000000.0,746000000.0,772000000.0,832000000.0,910000000.0
Norway,171457201936.0,174239354071.0,195914852576.5,229385469337.0,265268662473.3,309978579743.9,346915160681.7,402643260487.6,464917553191.5,387976400617.0,431052143940.4,501360549669.4,512777309841.0,526014468085.1,501736471832.8,388159512245.5
Oman,22259557867.4,22205721716.5,23065539661.9,24733680104.0,28378933680.1,35506892067.6,42577633290.0,48300390117.0,69804681404.4,55454096228.9,64993498049.4,77497529258.8,87408842652.8,89936020806.2,92699089726.9,78710793238.0
Pakistan,99484802344.5,97145618479.9,97923302809.4,112371913740.8,132216048339.4,145208562960.8,161871385506.4,184140869997.5,202203748583.9,187337783856.5,196709621849.6,230586581059.7,250106966104.7,258657231672.4,271390474857.6,299963590534.8
Palau,149535800.0,159453500.0,162665500.0,154559900.0,166391600.0,191048400.0,193679700.0,200903600.0,201167300.0,189998000.0,188174300.0,198873900.0,215762400.0,225345718.8,243156484.4,278824781.3
Panama,11966497000.0,12252906300.0,12800851300.0,13603456000.0,15100203400.0,16623906700.0,18659721500.0,21717433800.0,25721328000.0,27791215500.0,30231009500.0,35687738300.0,41595439700.0,46949496500.0,51427104900.0,55767806100.0
Papua New Guinea,3521339699.1,3081024212.4,2999511040.2,3536411824.3,3927157867.0,4865892972.3,8354911040.7,9545028944.3,11670892800.5,11619456449.3,14250786674.8,17985138065.9,21295168665.7,21261338064.9,23210823987.3,21723437010.1
Paraguay,8855705139.6,8495806432.2,7196260656.8,7691367471.2,9624440836.3,10737500188.1,13429430050.3,17856393235.4,24615267663.5,22355151162.0,27260886405.2,33756238766.5,33271921136.3,38501122141.4,40377929295.6,36211447840.1
Peru,51744749133.2,52030158775.4,54777553515.1,58731030121.9,66768703497.6,76060606060.6,88643193061.7,102170981144.1,120550599815.4,120822986521.5,147527631520.7,171761737046.6,192650021648.6,201175543571.4,200786250582.9,189802976285.6
Philippines,83669788254.7,78921234457.5,84307345887.5,87039092974.2,95001999685.3,107419977318.2,127652926368.1,155980408673.4,181624626327.4,175974755881.4,208368893151.1,234216730295.9,261920540972.1,283902828581.7,297483555344.8,306445871246.7
Poland,172953527033.0,191823200371.3,199694463255.6,218561225998.5,256268656145.1,306999913150.5,345897630736.2,429715132137.5,535612030671.9,440891472247.1,478111630683.5,527848543023.5,498148649702.7,518179836405.4,542134167178.6,480054118583.4
Portugal,118605192877.4,121604107165.0,134795565549.4,165226175536.8,189382122532.2,197253876704.9,208756449275.8,240496147317.4,263416394624.1,244667762835.5,238443864993.2,245426767676.0,216536676772.0,226677408291.7,230078616299.7,199038523119.6
Puerto Rico,61701800000.0,69208400000.0,71623500000.0,74827400000.0,80322313000.0,83914521300.0,87276164400.0,89524131600.0,93639300000.0,96385600000.0,98381300000.0,100351700000.0,101564800000.0,102450000000.0,102445800000.0,103375500000.0
Qatar,17759890109.9,17538461538.5,19363736263.7,23533791208.8,31734065934.1,44530494505.5,60882142857.1,79712087912.1,115270054945.1,97798351648.4,125122306346.2,167775268626.4,186833502362.6,198727642967.0,206224598571.4,161739955576.9
Romania,37253739511.1,40395116581.5,46065502702.6,57806384143.2,74973656851.8,98454380120.1,122023735992.7,174588782938.6,214315932061.3,174110532658.9,170064350671.8,192623977894.2,179117323107.1,189798603751.2,199722319675.7,177885131240.3
Russian Federation,259710142196.9,306602070620.5,345470494417.9,430347420184.9,591016690732.4,764015973481.1,989932071352.5,1299703478481.7,1660848058303.1,1222645900055.7,1524916715224.0,2045922753398.0,2208293553878.4,2292470078346.2,2059241589895.0,1363482182197.7
Rwanda,2068836754.4,1966600715.5,1966003468.5,2138237278.7,2376496067.0,2933819766.2,3319784538.7,4070507894.6,5179854064.6,5674476969.1,6124756654.1,6884913658.1,7654761573.5,7819963715.8,8238966063.9,8543759677.6
Samoa,258856139.8,266299591.5,281790134.2,333426188.4,407747565.1,476801793.2,499923757.8,573548459.8,641346191.7,628006115.4,680260907.2,744097050.2,773141661.2,797736334.3,796683519.6,824150498.7
San Marino,1007661366.7,1059529812.4,1148872072.4,1462590266.6,1715340543.0,1786514058.2,1909765165.4,2188654628.4,2403213305.0,2064277126.4,1881191925.3,1813717438.7,1604701299.4,1678741475.1,1673911426.2,1419401070.6
Sao Tome and Principe,76198394.8,75951133.4,85171073.9,102085769.1,114582283.9,136450662.4,142775104.1,149146918.9,188021165.0,200668065.0,190021192.5,226455001.2,229371348.2,267041747.6,293119143.2,259999643.0
Saudi Arabia,189514933333.3,184137600000.0,189605866666.7,215807733333.3,258742133333.3,328459608764.1,376900133511.3,415964509673.1,519796800000.0,429097866666.7,528207200000.0,676634666666.7,741849866666.7,753864533333.3,766605866666.7,669484266666.7
Senegal,6013185004.0,6507824829.3,7006402319.8,8768721563.2,10076816666.6,11009033437.9,11697918243.0,13994218413.0,16853989627.5,16145867494.9,16121315909.1,17814283639.3,17660870411.5,18918667724.9,19797253440.3,17774766696.2
Serbia,7326373882.1,13599378662.0,17930583571.3,23593044417.5,26845632341.8,28334256180.9,33298057361.7,44888028946.1,54220641201.6,46955984409.7,43536629233.1,51251098408.1,45103269969.4,50455529604.1,49114321280.3,41297410635.0
Seychelles,654212394.3,662064155.9,742134837.5,750847230.1,893012218.2,977899381.8,1081441283.3,1077308813.8,979597394.3,850901620.4,981616542.3,1058918707.3,1089407839.2,1333160407.4,1387577870.1,1432403352.1
Sierra Leone,635866403.8,1681473752.4,1933864034.2,2142618349.8,2237350963.3,2545275312.6,2912986118.1,3326853435.6,3835603778.6,3784165906.1,4033122830.1,4587078913.1,5927684219.2,7697098118.2,7845456215.3,6651626733.6
Singapore,96076539925.7,89793790669.7,92538372869.7,97646401095.6,115033593101.0,127807848728.4,148627286361.4,180941701358.0,193617323539.2,194150283771.6,239807980591.2,279356499090.5,295092888076.6,307576360585.0,314863580758.5,307998545269.4
Sint Maarten (Dutch part),,,,,,,,,,854972067.0,892290502.8,936089385.5,985865921.8,1022905027.9,1361811508.4,1417888715.1
Slovak Republic,29215726004.8,30726659551.0,35243658398.8,46616149116.7,57215475076.3,62547753148.5,70751813443.0,86587749518.0,100830060552.9,89342984697.5,91112160800.8,99705104723.4,94724394278.1,99134277850.3,101713075598.9,89178548717.3
Slovenia,20159190701.7,20668868706.8,23214593516.2,29360575031.8,34156553313.4,35947936823.8,39260368837.0,47880266542.6,55509332322.4,49975540954.8,47793117240.9,51199194599.3,46167053954.3,47867056858.9,49514466379.6,42709468274.8
Solomon Islands,419842674.2,409508553.0,346406738.9,417668983.4,468005318.6,552864570.2,617258154.3,695295347.6,776337691.8,805557562.6,898133684.9,1063895360.7,1185215418.3,1285911586.1,1335571420.7,1307909887.6
Somalia,3412797450.2,2252847464.7,2192684134.6,2836724351.6,3859592813.1,4683246454.1,5026743282.0,5430713728.9,5913620292.9,2948594552.4,2687807003.7,2906000096.9,4364670160.0,5062881613.1,5728399710.6,6152149080.0
South Africa,151752757215.3,135429905922.5,129087556612.4,197018965308.7,255806908594.6,288867217196.5,303858675363.6,333077117253.7,316131258616.3,329754060647.1,417363822801.7,458199494830.8,434400545085.8,400886013595.6,381198869776.1,346709790458.6
South Sudan,,,,,,,,,14586253383.1,12231264525.1,14602072411.0,14907308932.8,11931472169.5,18426469016.9,13962212847.5,11997800760.2
Spain,598102854756.1,627798682378.7,708938227243.9,907963217057.6,1069829382514.7,1154667551775.9,1261846683275.3,1476746276854.5,1636115447612.5,1496587590847.7,1427989078916.7,1487568659241.3,1330994811670.3,1362186923157.7,1380244561362.0,1206164777553.1
Sri Lanka,16330814180.0,15749753804.8,16536535647.1,18881765437.2,20662525941.3,24405791044.8,28279802405.9,32350238760.4,40713826215.0,42066224093.0,58636161081.7,67753284043.9,70447216891.3,77000578167.4,82528535713.9,85140955388.9
St. Kitts and Nevis,421695769.8,458643829.0,481077373.7,469869869.9,506900000.0,547203703.7,644414814.8,689285185.2,777692592.6,774274074.1,778718518.5,836092592.6,824585185.2,874548148.1,952111111.1,957222222.2
St. Lucia,932592592.6,892592592.6,900000000.0,987407407.4,1066666666.7,1135555555.6,1268319185.2,1336088814.8,1437731111.1,1401507888.9,1482385185.2,1568370370.4,1598207407.4,1660222222.2,1749185185.2,1807629629.6
St. Martin (French part),,,,,,,,,,,,775875748.5,,,772921958.5,
St. Vincent and the Grenadines,427946037.0,462072333.3,487763851.9,509090888.9,549900185.2,579948925.9,643501148.1,713596666.7,732663259.3,714300259.3,720447888.9,713796370.4,730032592.6,764781259.3,770900000.0,786555555.6
Sudan,12257299147.3,15716361792.2,18137128388.4,21355298459.6,26646007250.7,35182711988.0,45263831634.1,59440139774.8,64833083257.1,51621044076.9,58962978034.5,55018567210.5,37632919966.7,43024018082.2,49516748618.0,51726758676.8
Suriname,947671969.7,834279357.8,1093574468.1,1274190311.4,1484092538.4,1793410397.4,2626380435.2,2936612021.9,3532969034.6,3875409836.1,4368370997.9,4422276621.8,4980000000.0,5145757575.8,5240606060.6,5126237646.2
Eswatini,1738093840.4,1542477308.9,1432221739.1,2197598466.3,2770082791.5,3178112498.7,3291330019.2,3469381231.5,3294084314.2,3580428052.8,4438765085.9,4820478680.2,4886551483.9,4418333192.5,4250545460.9,3878174403.6
Sweden,262905197441.7,242499249692.6,267373345246.5,334074051173.0,384547211147.2,391690329314.5,422530427475.5,490050156832.6,514616528348.8,434313804907.4,492753255885.7,570541353128.7,549742183874.4,584128116410.3,577730245154.2,501698263620.7
Switzerland,279216033870.2,286582672434.2,309301422430.4,362075086507.8,403912891033.4,418284865885.0,441634672196.5,490740715594.8,567267767519.2,554212916092.3,598851028906.6,715888126682.4,686420221558.0,706234937371.0,726537808338.0,694118186379.6
Syrian Arab Republic,18937052543.4,20237024724.7,20669357462.4,21828144686.0,25086950495.0,28858965517.2,33751788856.3,40465318382.1,52557913569.0,54111735628.7,61390830874.7,67539428159.4,43190318032.6,21361254635.1,21502061465.9,16466863117.0
Tajikistan,860541842.3,1080772551.3,1221106220.3,1555318261.4,2076176869.4,2312352020.7,2830213848.6,3719524540.9,5161299725.3,4979472364.5,5642221099.2,6522756255.0,7633036903.1,8448411318.3,9112605459.3,8271431485.1
Tanzania,13371767081.7,13563990022.4,14129651895.7,15211487708.8,16673062473.4,18395383647.5,18619859795.3,21860434823.5,27947821397.9,29400573553.6,32012892919.4,34657140096.5,39650394362.9,45648857242.3,49986726460.7,47413919817.1
Thailand,126392224253.8,120296476180.4,134300904400.0,152280615245.9,172895685154.7,189318408468.6,221758296021.6,262942621455.1,291382982431.0,281710630187.3,341104766329.2,370818739623.6,397558325278.6,420333654592.5,407339040197.7,401296238228.1
Timor-Leste,366924300.0,477443500.0,469455500.0,490439100.0,440772000.0,462268000.0,453792400.0,542795400.0,648523600.0,726937800.0,881909300.0,1042534600.0,1160555000.0,1395727400.0,1447535200.0,1590282400.0
Togo,2106848752.3,2093498674.5,2410199032.4,2987984051.0,3191561508.7,3221910408.5,3320907721.7,3759964943.4,4578849658.0,4721890900.2,4746389531.7,5422442166.4,5413544658.4,6021732977.3,6393318261.8,5755461035.4
Tonga,204848470.1,181117222.0,182764260.1,202246611.8,230677994.6,261823827.4,292232681.6,298519618.1,344438839.6,312415046.4,366887376.6,414143823.2,471122970.9,451788486.9,440997738.0,437525514.2
Trinidad and Tobago,8154342116.1,8824849191.0,9008298228.6,11305459802.1,13280291989.6,15982389018.4,18369361094.4,21641620049.9,27871587349.5,19172165225.5,22157920592.4,25433007437.2,27334568806.2,28709859468.9,29697674913.5,27026750553.0
Tunisia,21473528160.8,22065832448.9,23141616604.5,27453902261.5,31183885241.4,32272186694.8,34376664600.6,38915353866.8,44859439902.2,43455740497.3,46206091938.0,48123325825.1,47311401812.7,48685446414.0,50271812920.6,45779494041.9
Turkiye,274294623164.0,201753123806.7,240249071871.1,314595572145.8,408865430220.3,506314717661.7,557076157773.5,681321124295.9,770449132861.4,649289324627.7,776967266305.5,838785289694.4,880555885492.3,957799120008.3,938934609297.0,864313810469.0
Turkmenistan,2904663311.0,3534772732.4,4462029108.7,5977440582.8,6838351088.5,8103901996.4,10276674364.9,12664165103.2,19271523178.8,20214385964.9,22583157894.7,29233333333.3,35164210526.3,39197543859.6,43524210526.3,35799714285.7
Turks and Caicos Islands,,358744800.0,366707900.0,409753600.0,485598800.0,578645800.0,721891500.0,773489700.0,862683600.0,703175800.0,686787800.0,728789600.0,727161000.0,754238000.0,841070000.0,942070000.0
Tuvalu,15073975.5,13964732.3,16842672.6,19456338.0,22798275.0,22909979.8,24096875.5,28450168.7,31874434.9,28076984.0,32105408.5,39196957.5,39345579.5,38615890.6,38760982.7,36811936.1
Uganda,6193246837.1,5840503868.5,6178563591.1,6606884275.2,7939487547.8,9239221763.1,9977647683.0,11902564494.9,14440404132.2,25127805566.7,26673441430.8,27871725241.5,27305915910.8,28915786516.6,32612397257.4,32387183730.1
Ukraine,32375083934.8,39309580983.2,43956163612.0,52010355753.0,67220154164.3,89238865118.5,111884752475.2,148733861386.1,188110390659.5,121552153444.1,141209170427.2,169333835201.6,182591753827.9,190498811460.0,133503871861.7,91030967789.1
United Arab Emirates,104337372362.2,103311640571.8,109816201497.6,124346358066.7,147824370319.9,180617467964.6,222116541865.2,257916133424.1,315474615738.6,253547358747.4,300189052694.0,360832739558.4,384610125384.0,400218529747.6,414105366758.9,370275469560.2
United Kingdom,1665534876683.3,1649827263567.0,1785729916067.2,2054422857142.9,2421525082387.4,2543180000000.0,2708441582336.7,3090510204081.6,2929411764705.9,2412840006231.5,2485482596184.7,2663805834828.1,2707089726614.6,2784853502534.3,3064708247921.4,2927911140916.7
United States,10250952000000.0,10581929000000.0,10929108000000.0,11456450000000.0,12217196000000.0,13039197000000.0,13815583000000.0,14474228000000.0,14769862000000.0,14478067000000.0,15048971000000.0,15599732000000.0,16253970000000.0,16880683000000.0,17608138000000.0,18295019000000.0
Uruguay,22823270892.1,20898761742.2,13606515722.6,12045638351.9,13686329890.1,17362857683.9,19741420739.9,23797773024.4,31119602538.8,32708319077.5,41950361212.0,50342406067.1,54232266358.8,61337621933.8,61496186973.9,57680327998.7
Uzbekistan,13760513969.3,11401421329.2,9687788512.8,10134453435.5,12030023547.9,14307509838.8,17330833852.9,22311393927.9,29549438883.8,33689223673.3,49765676402.4,60178909297.2,67517349212.1,73180037914.9,80845385809.5,86196264755.3
Vanuatu,272014627.8,257926881.7,262596535.5,314471413.0,364996869.1,394962433.0,439358586.5,516392922.5,590748429.4,592622319.1,670712979.7,770153588.2,747839697.7,758304466.2,772315983.8,730870803.0
Venezuela RB,117146466002.7,122911036746.7,92893587733.7,83620628582.1,112451400425.0,145513489651.9,183477522123.9,230364012575.7,315953388510.7,329787628928.5,393192354510.7,316482190800.4,381286237847.7,371005379786.6,482359318767.7,
Viet Nam,31172518403.3,32685198808.6,35064105500.8,39552513231.9,45427854693.3,57633255738.2,66371664817.0,77414425532.2,99130304099.1,106014659565.2,147201173197.0,172595049183.9,195590661129.2,213708811665.3,233451469642.5,239258328381.7
Virgin Islands (U.S.),,,3262000000.0,3443000000.0,3797000000.0,4428000000.0,4484000000.0,4784000000.0,4244000000.0,4201000000.0,4324000000.0,4223000000.0,4089000000.0,3738000000.0,3565000000.0,3663000000.0
West Bank and Gaza,4313600000.0,4003700000.0,3555800000.0,3968000000.0,4603100000.0,5125700000.0,5348300000.0,5815700000.0,7310400000.0,8085700000.0,9681500000.0,11186100000.0,12208400000.0,13515500000.0,13989700000.0,13972400000.0
Yemen Rep.,9679316770.2,9852990693.0,10693430511.5,11777532662.0,13867634371.5,16731566717.2,19063143369.9,21650528674.1,26910855807.3,25130278212.6,30906749533.2,32726417878.4,35401331609.6,40415233436.2,43228585321.3,42444489522.2
Zambia,3600632111.4,4094441301.2,4193850445.4,4901869764.1,6221110219.5,8331870169.1,12756858899.3,14056957976.3,17910858637.9,15328342304.0,20265559483.9,23459515275.6,25503060420.0,28037239462.7,27141023558.1,21251216798.8
Zimbabwe,6689957600.0,6777384700.0,6342116400.0,5727591800.0,5805598400.0,5755215200.0,5443896500.0,5291950100.0,4415702800.0,9665793300.0,12041655200.0,14101920300.0,17114849900.0,19091020000.0,19495519600.0,19963120600.0
"Created from: World Development Indicators
Series : GDP (current US$)



",,,,,,,,,,,,,,,,
