 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,655448231983.5,559983634799.0,509795273806.7,558233745651.9,669289424806.3,891633839853.1,1107626541710.7,1397114486471.4,1695855083552.1,1666996438681.5,2208837745214.2,2616156223977.5,2465227803011.6,2472819535742.7,2456043727198.9,1802212206904.7
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei Darussalam,6570999059.7,6096155747.6,6333082879.0,7167725264.8,8619178799.5,10547202612.4,12644616446.2,13432029495.7,15926456491.5,11912904529.1,13707121031.3,18524791070.7,19048443339.9,18094148099.5,17097797372.0,12930296852.5
Bulgaria,13245990274.5,14183446025.7,16403043849.8,21144957990.5,26157743368.9,29868657858.0,34380536495.7,44432811756.5,54480684188.4,52023801230.1,50760929302.5,57737040780.0,54288135058.8,55852123990.0,57157782909.9,50811995688.7
Burkina Faso,2968370087.6,3190371080.9,3622350063.0,4740768142.7,5451688537.6,6146353173.3,6547419820.4,7625722836.8,9451435490.1,9450696873.3,10109619740.7,12080295977.6,12561015156.6,13444300485.8,13943016076.7,11832159315.6
Burundi,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113079.7,1273375078.4,1356199387.4,1611835857.0,1781455139.9,2032135192.0,2235820809.3,2333341334.5,2451606632.3,2705783329.8,3104003546.3
Cabo Verde,539227277.6,563090490.4,620507387.5,813260468.9,924940011.8,972241676.9,1107571457.9,1649621738.6,1959620648.3,1852334575.2,1824751467.9,2046817987.2,1913081210.4,2028910915.2,2041930125.4,1749857620.4
Cambodia,3694168979.3,4145665969.9,4501227626.6,5046693484.3,5883297159.9,7066296463.4,8350531016.7,10127916459.9,12174303999.1,12502901169.7,13808673288.1,16032622023.8,17826536699.8,19807135252.9,22041463967.9,24174170369.1
Cameroon,10566579295.0,10953485349.1,12417251350.5,15970315035.0,18826214135.6,19509852206.9,20910512974.9,23928250433.0,27715142032.9,27932970317.1,27507501821.0,30630910495.2,30155062329.3,33728621180.3,36386544706.1,32210233020.5
Canada,744773415931.6,738981792355.4,760649334098.0,895540646634.8,1026690238278.3,1173108598778.7,1319264809591.0,1468820407783.3,1552989690721.7,1374625142157.3,1617343367486.3,1793326630174.5,1828366481521.6,1846597421835.0,1805749878439.9,1556508816217.1
Cayman Islands,,,,,,,4200288241.2,4466278065.1,4585949023.8,4281714566.9,4156841107.4,4186073104.3,4291004524.0,4405796023.2,4562853611.4,4708167232.7
Central African Republic,916777282.7,932648604.8,996068144.9,1142315522.5,1272360517.3,1337894378.7,1461859762.3,1699811294.9,1993407888.5,2067381665.3,2142591540.4,2437982705.1,2510126512.2,1691544110.2,1894813389.4,1695825714.2
Chad,1388506771.6,1710843377.0,1997005708.8,2742815071.6,4422855660.8,6649307523.6,7428701453.9,8650137743.3,10393833765.4,9290728319.0,10668103554.1,12172308851.0,12367362757.1,12953534866.4,13940767218.6,10950392257.0
Channel Islands,6439703434.7,6232906290.5,6663669064.7,7332244898.0,8553643354.1,8827272727.3,9676172953.1,11514605842.3,,9100755659.6,8902070446.2,9649313947.2,9455340154.1,9594160920.3,10528493035.5,10109968847.0
Chile,78339750721.7,71574739561.4,70264045939.1,76492579644.1,99075985773.2,122294145162.8,153843518171.4,172491076033.9,179894594476.0,171777900623.2,217051209240.3,251382573885.6,267024782480.3,277395018837.4,259560978231.6,242450355827.8
China,1211331651866.1,1339400897105.1,1470557654800.0,1660280543846.8,1955346768721.4,2285961149879.9,2752118657184.0,3550327802998.4,4594336785737.7,5101691124285.2,6087191746679.5,7551545703440.8,8532185381680.6,9570471111831.7,10475624944355.2,11061572618578.7
Colombia,99875074951.0,98200641203.4,97945812802.9,94644969157.1,117092416666.2,145600529605.8,161792958904.9,206229540926.3,242504150472.9,232468663109.6,286498534095.0,334966134804.9,370691143018.0,382093697077.7,381240864422.4,293492370193.2
Comoros,351136579.6,378512024.1,425964681.0,546885222.7,633706110.8,653845169.2,698431793.9,795673152.9,915659108.0,905341172.7,907978730.9,1023086273.5,1015843490.8,1116224106.8,1149587661.0,966029600.9
Congo Dem. Rep.,19088046305.8,7438189100.3,8728038525.1,8937567059.9,10297483481.2,11964484465.9,14451901696.4,16737071816.4,19788515590.1,18648372553.1,21565721044.8,25839749199.4,29306235285.3,32679745048.4,35909040925.9,37917706497.2
Congo Rep.,3227927697.6,2796704604.0,3034250924.0,3503723087.7,4656974940.1,6650001680.5,8072305029.1,8782703436.7,11649857673.4,9723299915.3,13148396211.6,15655383576.7,17692911296.3,17958720699.1,17919321078.0,12434793867.4
Costa Rica,15013629661.9,15976174337.0,16578820687.3,17271760506.9,18610594846.2,20040642477.0,22715540324.3,26884700709.3,30801745700.5,30745714312.6,37658616951.8,42762613699.0,47231655431.7,50949668841.7,52016408854.3,56441920820.5
Cote d'Ivoire,16577533891.9,16810537043.8,18054383320.8,21251754340.4,23510575681.4,24036918703.2,25281413263.4,28760090953.3,34078240293.3,33886813250.2,34936307980.1,36693710801.4,36302302877.3,42760235484.6,48843005613.7,45815005169.3
Croatia,22134411297.5,23066883849.6,26757722428.7,35245317001.8,41836292157.3,45013119281.8,49590197656.5,59298265770.0,68478776206.0,62321642125.2,58981738868.8,62903737379.8,57551963753.2,59852401272.3,59612144078.4,51005200669.7
